,职业名,地址,薪资
0,市场专员/助理,观音山,面议
1,市场营销,翔鹭,6000-12000
2,新媒体运营|摄影工作室,SM商圈,4500-6000
3,主播运营,高崎,5000-10000
4,市场营销专员4000,翔安区,6000-8000
5,少儿口才培训招生专员,杏锦路,3500-7000
6,网络主播,枋湖,6000-12000
7,前景好+设计培训可学,思明区,面议
8,健身教练学徒+双休,高崎,6000-12000
9,周末双休招聘电话客服,厦门,4000-7500
10,年轻人有梦想/推广员,湖里区,面议
11,市场专员+高提成,莲坂,5000-10000
12,诚聘应届生底薪4k+提成,思明区,6000-12000
13,直聘营销专员五险一金,集美区,5000-10000
14,美容导师,东浦路,5000-10000
15,市场营销专员+五险,观音山,6000-11000
16,急聘营销策划专员,莲坂,5000-10000
17,不出差包吃住急招女士,莲坂,6000-12000
18,媒介,湖里区,4000-8000
19,市场专员+高新诚聘,火车站,5000-8000
20,营销专员,思明区,面议
21,销售精英/分红/高提成,新店,5000-8000
22,美导+高额提成+团建活动,莲前东路,7500-15000
23,销售无责底薪4k/高提成,厦门,3000-5000
24,高级市场营销顾问+10k,厦门,8000-12000
25,策划营销,集美区,4000-5000
26,无责任底薪业务推广包住,湖边水…,6000-10000
27,电商运营专员4k+,火车站,4000-6000
28,市场营销5-8千,湖滨东路,面议
29,麦田总部直聘管理培训生,莲坂,4000-8000
30,媒介市场业务员,松柏,面议
31,新媒体运营+年终奖,高新技…,4000-8000
32,客户经理+厦门户口+学历,五缘湾…,8000-15000
33,招商专员/经理/业务,集美新城,6000-10000
34,市场营销经理/总监,湖里区,7000-10000
35,二手楼盘营销人员,海沧区,5000-10000
36,市场经理/渠道销售,思明区,6000-12000
37,出差外派底薪加提成8K起,莲坂,8000-15000
38,管理培训生/储备干部,海沧区,面议
39,急招市场营销口齿清晰,同安区,面议
40,市场营销总监,东浦路,面议
41,客户经理+学历+五险一金,五缘湾…,10000-20000
42,市场营销,厦门,面议
43,市场营销管培生,高新技…,5000-10000
44,市场营销（品牌推广）经理,火车站,6000-12000
45,市场营销,嘉园路,面议
46,市场营销,杏锦路,面议
47,驾校招生专员/市场营销,嘉庚体…,4000-7000
48,市场营销顾问+资源共享,SM商圈,4000-8000
49,高级市场营销顾问+10K,厦门,4000-8000
50,市场营销,软件园,面议
51,总经理（市场营销）,同安区,面议
52,广告市场营销,同安区,面议
53,市场营销,城南,6000-12000
54,市场营销,厦门北站,4000-6000
55,市场营销专员+底薪4K,角美,4000-8000
56,市场营销总监,祥店,8000-12000
57,宽带市场营销底薪4K,集美区,4000-8000
58,营销策划,未来海…,面议
59,人性化自由制高薪营销,集美新城,5000-8000
60,市场推广员/经理/KOL,湖里区,8000-12000
61,市场专员,集美新城,3000-5000
62,市场经理,软件园,面议
63,高薪市场专员加奖金加社保,禾祥东路,4500-9000
64,营销人员,莲前西路,面议
65,市场策划助理,城南,4000-5000
66,市场推广专员,城西,面议
67,少儿体育培训市场运营,杏东路,4500-9000
68,市场销售员,高新技…,3500-4000
69,市场销售,广州,15000-20000
70,8小时双休市场专员/助理,城西,4300-7000
71,急聘市场推广/高薪+五险,软件园,5000-10000
72,运营推广/市场营销,厦门,面议
73,市场营销,海沧生…,面议
74,市场营销4k起+解决落户,火车站,4000-6000
75,市场部,江头,3500-7000
76,市场营销专员,厦门,6000-12000
77,市场销售,观音山,面议
78,市场营销,厦门,面议
79,市场营销,湖边水…,面议
80,急招活动培训行业市场助理,海沧区,4000-8000
81,市场专员五险综合6k,钟宅,5000-10000
82,市场营销,吕岭路,面议
83,市场营销,湖里区,面议
84,市场营销,七星路,7000-12000
85,市场营销,杏锦路,面议
86,市场营销,城北,面议
87,市场调查员,火车站,4500-5500
88,市场营销,体育中心,面议
89,翔安市场营销员带薪培训,厦门,6000-10000
90,母婴店市场营销主管,湖滨东路,面议
91,急招市场营销经理,莲岳路,4500-8000
92,市场营销经理高薪,翔安区,面议
93,市场营销,嘉庚体…,面议
94,外场咨询师,思明区,面议
95,企划经理/主管,莲前东路,6000-10000
96,市场部,思明区,面议
97,市场/营销专员,集美区,4000-8000
98,市场营销推广,瑞景,5000-10000
99,薪资8k招市场营销专员,火车站,5000-8000
100,厦门沧海区诚聘品牌经理,海沧区,面议
101,文案策划,高崎,5000-7000
102,门店拓展员,莲前东路,2500-5000
103,市场区域经理,海沧区,4000-8000
104,餐厅运营推广,马垅,3200-3800
105,星际STELLAR营销,莲坂,面议
106,星际STELLAR营销,莲坂,6000-9000
107,高级营销经理,湖滨南路,10000-15000
108,互联网推广专员,软件园,5000-10000
109,营销策划专员,湖滨南路,面议
110,市场专员（英语教育）,湖滨南路,3000-5000
111,市场专员+保底4K+高抽,厦门,4000-8000
112,营销策划主管,悦华路,10000-15000
113,市场专员,马垅,5000-10000
114,营销专员,五缘湾…,5500-10000
115,业务,高崎,4000-8000
116,麦田予你披荆斩棘扬帆起航,阿罗海…,8000-15000
117,业务员市场开拓员,新阳工…,4000-8000
118,业务员,新阳工…,5000-10000
119,银行市场经理,思明区,面议
120,泉州市场推广,湖里万达,7000-13000
121,社群营销,江头,5000-8000
122,文案策划,五缘湾…,4000-6000
123,招聘策划高薪,厦门,4000-8000
124,销售人员,工业集…,面议
125,软文营销,莲前东路,面议
126,市场策划总监,湖边水…,面议
127,市场企划专员,东渡,5000-6000
128,文案策划,集美区,4000-7000
129,营销策划,鹭江道,面议
130,市场专员,湖滨南路,5000-10000
131,高级市场专员（急）,厦门,6000-12000
132,营销精英底薪4.5k,环东海域,8000-15000
133,市场经理高薪+提成,江头,面议
134,市场开拓,枋钟路,面议
135,餐饮营运实习生,湖里万达,2500-3000
136,市场推广,鹭江道,3000-6000
137,招营销专员7k,新店,10000-20000
138,营销,莲坂,8000-12000
139,营销（可兼职）6K起,厦门,5000-10000
140,高薪聘请女营销4K+提成,马垅,4000-8000
141,包吃住+5K市场专员,厦门,3000-6000
142,市场拓展专员,集美新城,4000-6000
143,市场专员（急聘）,湖里区,8000-12000
144,家装市场开发员+包吃,杏东路,5000-8000
145,市场销售4K+包住,SM商圈,5000-8000
146,销售内勤,思明区,3000-5000
147,支付推广员,象屿保…,5000-10000
148,思明区销售顾问+底薪4k,海沧生…,6000-8000
149,业务精英,SM商圈,面议
150,企划总监,环岛路,面议
151,企划总监,软件园,6000-11000
152,出差人员,厦门,4000-8000
153,房产经纪人,思明区,6000-12000
154,5K+就近分配+海外游,湖里区,8000-12000
155,信息采集员,翔鹭,5000-6000
156,业务助理,新店,5000-10000
157,惠游链企划,思明区,4500-6000
158,区域经理,南山,12000-24000
159,业务员,镇海路,5000-10000
160,活动策划（集美万达店）,集美万达,3500-6500
161,湖里区销售代表4K+高抽,湖里区,4000-8000
162,门窗销售经理,嘉庚体…,面议
163,包住+无责底薪+高抽,漳州港,6000-12000
164,房产中介业务员,嘉庚体…,4000-7500
165,社区团长,湖里区,6000-12000
166,行销企划,湖里万达,8000-10000
167,自媒体推广助理包吃住五险,工业集…,4000-6000
168,互联网推广,吕厝,面议
169,应届毕业实习生,莲坂,6000-8000
170,推广专员,杏西路,5000-8000
171,商务BD+底薪3500,厦门,5000-10000
172,家装业务员,华侨大学,面议
173,新媒体推广/高薪/双休,厦门北站,5000-10000
174,有钱没钱就来麦田,厦门,5000-8000
175,策划,厦门,4000-8000
176,自媒体运营专员,厦门,面议
177,挑战自己,湖滨北路,6000-8000
178,企划经理,厦门,面议
179,综合金融精英,同安区,10000-12000
180,销售实习生底薪4K+提成,厦门,5000-8000
181,4K底薪管培生/储备干部,莲坂,5000-8000
182,支付宝口碑业务拓展销售,鹭江道,5000-8000
183,网络推广,湖里区,5000-9900
184,诚聘市场销售高薪,软件园,20000-40000
185,市场调研项目督导,火车站,5000-6500
186,市场策划主管,祥店,5000-8000
187,高级销售顾问底薪4500,环东海域,8000-15000
188,欢迎敢拼想挑战高薪的伙伴,SM商圈,5000-8000
189,市场调研项目经理助理,火车站,5000-6500
190,应届生底薪4.5k无经验,环东海域,8000-15000
